"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ENDP","Endo International plc","7.44","$1.66B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/endp",
"ECYT","Endocyte, Inc.","5.12","$245.15M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ecyt",
"ELGX","Endologix, Inc.","5.45","$454.82M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/elgx",
"NDRA","ENDRA Life Sciences Inc.","3.59","$14.03M","2017","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/ndra",
"NDRAW","ENDRA Life Sciences Inc.","0.9999","n/a","2017","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/ndraw",
"EIGI","Endurance International Group Holdings, Inc.","9.25","$1.33B","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/eigi",
"WATT","Energous Corporation","8.23","$182.82M","2014","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/watt",
"EFOI","Energy Focus, Inc.","2.84","$33.67M","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/efoi",
"ERII","Energy Recovery, Inc.","10.98","$588.47M","2008","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/erii",
"EXXI","Energy XXI Gulf Coast, Inc.","5.13","$170.43M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/exxi",
"ENG","ENGlobal Corporation","0.8086","$22.25M","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/eng",
"ENPH","Enphase Energy, Inc.","2.9","$248.04M","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/enph",
"ESGR","Enstar Group Limited","221.55","$4.3B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/esgr",
"ENFC","Entegra Financial Corp.","29.15","$199.8M","2014","Finance","Banks","http://www.nasdaq.com/symbol/enfc",
"ENTG","Entegris, Inc.","29.9","$4.23B","2000","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/entg",
"ENTL","Entellus Medical, Inc.","16.56","$421.85M","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/entl",
"EBTC","Enterprise Bancorp Inc","37.24","$431.9M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ebtc",
"EFSC","Enterprise Financial Services Corporation","44.85","$1.03B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/efsc",
"ENZY          ","Enzymotec Ltd.","11.825","$277.04M","2013","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/enzy",
"EPZM","Epizyme, Inc.","12.6","$872.96M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/epzm",
"PLUS","ePlus inc.","78.45","$1.11B","1996","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/plus",
"EQIX","Equinix, Inc.","469.16","$36.7B","2000","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/eqix",
"EQFN","Equitable Financial Corp.","10.45","$35.21M","2015","Finance","Savings Institutions","http://www.nasdaq.com/symbol/eqfn",
"EQBK","Equity Bancshares, Inc.","34.12","$417.42M","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/eqbk",
"ERIC","Ericsson","6.25","$20.84B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/eric",
"ERIE","Erie Indemnity Company","121.34","$6.34B","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/erie",
"ERYP","Erytech Pharma S.A.","27.75","$497.61M","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/eryp",
"ESCA","Escalade, Incorporated","13.7","$196.88M","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/esca",
"ESPR","Esperion Therapeutics, Inc.","63.89","$1.67B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/espr",
"ESQ","Esquire Financial Holdings, Inc.","18.9","$138.47M","2017","Finance","Commercial Banks","http://www.nasdaq.com/symbol/esq",
"ESSA","ESSA Bancorp, Inc.","16.03","$185.88M","n/a","Finance","Banks","http://www.nasdaq.com/symbol/essa",
"EPIX","ESSA Pharma Inc.","0.2501","$7.28M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/epix",
"ESND","Essendant Inc.","9.3","$349.79M","n/a","Consumer Services","Paper","http://www.nasdaq.com/symbol/esnd",
"ITEQ","ETF Managers Trust BlueStar TA-BIGITech Israel Technology ETF","32.159","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iteq",
"ETSY","Etsy, Inc.","16.83","$2.05B","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/etsy",
"CLWT","Euro Tech Holdings Company Limited","3.75","$7.73M","1997","Consumer Durables","Diversified Electronic Products","http://www.nasdaq.com/symbol/clwt",
"EEFT","Euronet Worldwide, Inc.","91.05","$4.8B","1997","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/eeft",
"ESEA","Euroseas Ltd.","1.77","$19.78M","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/esea",
"EVEP","EV Energy Partners, L.P.","0.8625","$42.58M","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/evep",
"EVBG","Everbridge, Inc.","26.27","$742.25M","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/evbg",
"EVK","Ever-Glory International Group, Inc.","2.25","$33.29M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/evk",
"MRAM","Everspin Technologies, Inc.","7.74","$98.81M","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/mram",
"EVLV","EVINE Live Inc.","1.47","$95.88M","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/evlv",
"EVGN","Evogene Ltd.","3.85","$99.14M","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/evgn",
"EVOK","Evoke Pharma, Inc.","2.67","$41.15M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/evok",
"EVOL","Evolving Systems, Inc.","4.65","$58.25M","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/evol",
"EXAS","Exact Sciences Corporation","57.95","$6.94B","2001","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/exas",
"EXAC","Exactech, Inc.","42.35","$608.41M","1996","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/exac",
"XELA","Exela Technologies, Inc.","5.14","$773.97M","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xela",
